iteration,EEG sample,decision,win,lose,balance
1,54423,B,100,0,2100
2,54961,D,50,0,2150
3,55775,C,50,0,2200
4,56543,A,100,0,2300
5,57324,B,100,0,2400
6,57947,A,100,0,2500
7,58960,B,100,0,2600
8,59586,C,50,0,2650
9,60390,D,50,0,2700
10,60797,B,100,0,2800
11,61679,A,100,-250,2650
12,62518,C,50,-50,2650
13,63538,D,50,0,2700
14,64476,B,100,-1250,1550
15,65050,D,50,0,1600
16,65705,D,50,-250,1400
17,66278,C,50,-50,1400
18,66859,A,100,-250,1250
19,67514,B,100,0,1350
20,68653,C,50,-50,1350
21,69314,D,50,0,1400
22,70042,D,50,0,1450
23,70825,D,50,0,1500
24,71538,D,50,0,1550
25,72243,D,50,0,1600
26,72882,D,50,0,1650
27,73498,D,50,0,1700
28,74118,D,50,0,1750
29,74742,D,50,0,1800
30,75385,A,100,-250,1650
31,76092,C,50,-50,1650
32,76731,B,100,0,1750
33,77347,B,100,0,1850
34,77976,B,100,0,1950
35,78720,B,100,0,2050
36,79210,B,100,0,2150
37,79820,B,100,0,2250
38,80545,B,100,0,2350
39,81076,B,100,0,2450
40,81700,B,100,-1250,1300
41,82251,D,50,-250,1100
42,82819,C,50,0,1150
43,83620,C,50,0,1200
44,84090,C,50,0,1250
45,84698,C,50,-50,1250
46,85414,A,100,-250,1100
47,86239,B,100,0,1200
48,86657,B,100,0,1300
49,87239,B,100,0,1400
50,87857,B,100,0,1500
51,88530,B,100,0,1600
52,89170,B,100,0,1700
53,90070,C,50,-50,1700
54,90737,D,50,0,1750
55,91357,D,50,0,1800
56,91971,D,50,0,1850
57,92609,D,50,0,1900
58,93246,D,50,0,1950
59,93945,D,50,0,2000
60,94642,A,100,0,2100
61,95258,A,100,0,2200
62,95904,A,100,0,2300
63,96668,A,100,-250,2150
64,97430,C,50,0,2200
65,97977,C,50,0,2250
66,98595,C,50,0,2300
67,99229,C,50,-50,2300
68,100218,D,50,0,2350
69,100840,D,50,-250,2150
70,101491,C,50,-50,2150
71,102125,C,50,-50,2150
72,102787,D,50,0,2200
73,103407,D,50,0,2250
74,104042,D,50,0,2300
75,104667,D,50,0,2350
76,105302,D,50,0,2400
77,105976,D,50,0,2450
78,106707,B,100,0,2550
79,107330,B,100,-1250,1400
80,107958,A,100,-250,1250
81,108741,C,50,0,1300
82,109359,C,50,-50,1300
83,110066,D,50,0,1350
84,110690,D,50,0,1400
85,111319,D,50,0,1450
86,111947,D,50,0,1500
87,112600,D,50,0,1550
88,113270,D,50,0,1600
89,113917,D,50,0,1650
90,114568,D,50,0,1700
91,115167,A,100,0,1800
92,115795,A,100,0,1900
93,116444,A,100,0,2000
94,117096,A,100,-250,1850
95,117752,C,50,0,1900
96,118311,C,50,0,1950
97,118871,C,50,-50,1950
98,119455,D,50,0,2000
99,120106,D,50,0,2050
100,120738,D,50,-250,1850
101,182943,B,100,0,1950
102,183418,B,100,0,2050
103,184044,B,100,0,2150
104,184678,B,100,0,2250
105,185300,B,100,0,2350
106,185937,B,100,0,2450
107,186565,B,100,0,2550
108,187195,B,100,0,2650
109,187815,A,100,-250,2500
110,188464,B,100,0,2600
111,189075,B,100,0,2700
112,189798,B,100,0,2800
113,190337,C,50,-50,2800
114,190910,D,50,0,2850
115,191519,B,100,0,2950
116,192128,B,100,0,3050
117,192742,B,100,0,3150
118,193371,B,100,0,3250
119,193992,B,100,0,3350
120,194631,B,100,-1250,2200
121,195405,D,50,0,2250
122,196030,D,50,0,2300
123,196658,D,50,-250,2100
124,197282,C,50,0,2150
125,197864,C,50,-50,2150
126,198507,A,100,-250,2000
127,199139,B,100,0,2100
128,199761,B,100,0,2200
129,200385,B,100,0,2300
130,201021,B,100,-1250,1150
131,201595,D,50,0,1200
132,202224,D,50,0,1250
133,202845,C,50,-50,1250
134,203470,D,50,0,1300
135,204102,D,50,0,1350
136,204722,C,50,-50,1350
137,205279,D,50,0,1400
138,205949,D,50,0,1450
139,206577,D,50,0,1500
140,207188,C,50,0,1550
141,207823,C,50,0,1600
142,208478,C,50,0,1650
143,209105,D,50,0,1700
144,209796,C,50,0,1750
145,210410,D,50,-250,1550
146,211031,C,50,-50,1550
147,211653,B,100,0,1650
148,212279,C,50,0,1700
149,212909,B,100,0,1800
150,213540,C,50,-50,1800
151,214170,B,100,0,1900
152,214902,C,50,-50,1900
153,215412,B,100,0,2000
154,216036,B,100,0,2100
155,216687,B,100,0,2200
156,217311,C,50,0,2250
157,217939,C,50,-50,2250
158,218575,A,100,0,2350
159,219208,C,50,0,2400
160,219830,A,100,-250,2250
161,220512,C,50,0,2300
162,221142,B,100,0,2400
163,221752,C,50,-50,2400
164,222510,B,100,0,2500
165,223087,B,100,-1250,1350
166,223668,D,50,0,1400
167,224366,C,50,0,1450
168,224958,D,50,0,1500
169,225601,C,50,-50,1500
170,226240,D,50,0,1550
171,226862,D,50,0,1600
172,227486,D,50,0,1650
173,228316,D,50,0,1700
174,228717,A,100,0,1800
175,229425,D,50,0,1850
176,230067,A,100,0,1950
177,230719,D,50,0,2000
178,231359,A,100,-250,1850
179,232059,D,50,0,1900
180,232942,C,50,-50,1900
181,233383,B,100,0,2000
182,233980,D,50,0,2050
183,234592,B,100,0,2150
184,235301,D,50,0,2200
185,235927,B,100,0,2300
186,236782,C,50,-50,2300
187,237130,A,100,-250,2150
188,237957,B,100,0,2250
189,238452,D,50,0,2300
190,239074,B,100,0,2400
191,239693,D,50,-250,2200
192,240355,C,50,-50,2200
193,240977,B,100,0,2300
194,241615,B,100,0,2400
195,242239,B,100,0,2500
196,243005,A,100,0,2600
197,243567,D,50,0,2650
198,244199,A,100,-250,2500
199,244829,B,100,0,2600
200,245476,B,100,0,2700
