iteration,EEG sample,decision,win,lose,balance
1,46053,C,50,0,2050
2,47155,B,100,0,2150
3,48175,A,100,0,2250
4,49152,B,100,0,2350
5,49999,D,50,0,2400
6,51393,A,100,0,2500
7,52702,A,100,-250,2350
8,53439,C,50,0,2400
9,54454,B,100,0,2500
10,55384,A,100,-250,2350
11,56097,B,100,0,2450
12,56761,D,50,0,2500
13,57456,C,50,-50,2500
14,58234,B,100,-1250,1350
15,58982,A,100,-250,1200
16,59647,D,50,0,1250
17,60411,B,100,0,1350
18,61083,A,100,-250,1200
19,61759,B,100,0,1300
20,62804,B,100,0,1400
21,63617,B,100,0,1500
22,64831,B,100,0,1600
23,65981,A,100,0,1700
24,67179,C,50,-50,1700
25,67797,A,100,0,1800
26,68527,A,100,0,1900
27,69264,A,100,-250,1750
28,69926,D,50,0,1800
29,70597,B,100,0,1900
30,71629,B,100,0,2000
31,72090,A,100,-250,1850
32,72938,B,100,0,1950
33,73620,C,50,-50,1950
34,74278,B,100,0,2050
35,74883,B,100,-1250,900
36,75519,D,50,-250,700
37,76198,C,50,-50,700
38,76828,A,100,0,800
39,77609,A,100,0,900
40,78280,A,100,0,1000
41,79081,A,100,-250,850
42,79735,C,50,0,900
43,80376,D,50,0,950
44,80989,B,100,0,1050
45,82289,A,100,-250,900
46,82821,C,50,0,950
47,83494,B,100,0,1050
48,84145,C,50,0,1100
49,84792,D,50,0,1150
50,85443,B,100,0,1250
51,86065,A,100,-250,1100
52,86687,B,100,0,1200
53,87344,C,50,-50,1200
54,87980,D,50,0,1250
55,88607,B,100,0,1350
56,89286,A,100,0,1450
57,89934,A,100,-250,1300
58,90568,D,50,0,1350
59,91190,C,50,-50,1350
60,91806,D,50,0,1400
61,92636,B,100,0,1500
62,93102,B,100,0,1600
63,93764,B,100,-1250,450
64,94414,A,100,0,550
65,95034,A,100,0,650
66,95688,A,100,-250,500
67,96304,C,50,0,550
68,96919,D,50,0,600
69,97522,B,100,0,700
70,98182,B,100,0,800
71,98851,D,50,0,850
72,99482,B,100,0,950
73,100332,A,100,-250,800
74,100747,B,100,0,900
75,101368,D,50,0,950
76,101987,B,100,0,1050
77,102609,C,50,0,1100
78,103263,D,50,0,1150
79,103887,A,100,0,1250
80,104846,B,100,0,1350
81,105677,D,50,-250,1150
82,106117,B,100,0,1250
83,106740,A,100,-250,1100
84,107361,C,50,0,1150
85,107983,B,100,0,1250
86,108741,B,100,0,1350
87,109363,C,50,-50,1350
88,109974,A,100,-250,1200
89,110648,B,100,0,1300
90,111256,D,50,0,1350
91,111954,C,50,-50,1350
92,112545,A,100,-250,1200
93,113336,B,100,0,1300
94,113789,B,100,0,1400
95,114493,D,50,0,1450
96,115183,B,100,0,1550
97,115801,A,100,0,1650
98,116450,D,50,0,1700
99,117076,C,50,-50,1700
100,117688,B,100,0,1800
101,179805,A,100,0,1900
102,180828,B,100,0,2000
103,181633,D,50,0,2050
104,182257,C,50,0,2100
105,182835,D,50,0,2150
106,183474,A,100,0,2250
107,184096,B,100,0,2350
108,185118,C,50,-50,2350
109,185832,B,100,-1250,1200
110,186467,A,100,0,1300
111,187199,A,100,-250,1150
112,187848,D,50,0,1200
113,188480,C,50,0,1250
114,189110,D,50,0,1300
115,189689,B,100,0,1400
116,190321,A,100,0,1500
117,190974,A,100,-250,1350
118,191630,B,100,0,1450
119,192241,C,50,0,1500
120,192815,D,50,-250,1300
121,193441,B,100,0,1400
122,194092,A,100,-250,1250
123,194705,C,50,-50,1250
124,195315,D,50,0,1300
125,195926,B,100,-1250,150
126,196558,A,100,0,250
127,197105,C,50,-50,250
128,197677,D,50,0,300
129,198290,A,100,-250,150
130,198906,B,100,0,250
131,199607,C,50,0,300
132,200300,A,100,0,400
133,201002,A,100,0,500
134,201716,A,100,-250,350
135,202383,B,100,0,450
136,203061,B,100,0,550
137,203675,D,50,0,600
138,204326,C,50,-50,600
139,204956,D,50,0,650
140,205595,B,100,0,750
141,206421,C,50,-50,750
142,207070,A,100,0,850
143,207863,A,100,-250,700
144,208481,B,100,0,800
145,209097,D,50,0,850
146,209779,B,100,0,950
147,210405,A,100,-250,800
148,211022,C,50,-50,800
149,211663,C,50,0,850
150,212266,D,50,0,900
